image_k_minus feature_k_minus_x_coord feature_k_minus_y_coord image_k feature_k_x_coord feature_k_y_coord 3d_world_pt_x 3d_world_pt_y 3d_world_pt_z
1 549.6 176.4 2 549.6 176.4 -1.4388 5.27007 18.9215
1 508.8 367.2 2 507.6 367.2 0.0820088 -1.71639 18.5541
1 582 231.6 2 582 231.6 -2.72287 3.42743 20.1221
1 571.2 248.4 2 571.2 248.4 -2.26504 2.70769 19.6192
1 345.6 438 2 336 438 2.91258 -2.34344 10.1168
1 542.4 362.4 2 542.4 362.4 -1.1431 -1.60397 19.266
1 369.6 434.4 2 360 434.4 2.43211 -2.27399 10.14
1 484.8 433.2 2 475.2 433.2 0.187476 -2.39671 10.852
1 836.4 207.6 2 850.8 207.6 -48.0581 17.2756 82.6146
1 845.28 211.68 2 859.68 211.68 -49.3884 16.6091 82.5813
1 852.48 214.56 2 865.44 214.56 -30.968 9.79409 50.0862
1 446.4 433.44 2 436.32 433.44 0.946034 -2.32745 10.5007
1 581.76 335.52 2 584.64 335.52 -3.2012 -0.811926 25.8448
1 876.96 267.84 2 892.8 267.84 -58.0078 8.32848 88.551
1 796.32 371.52 2 799.2 371.52 -10.069 -1.87486 18.524
1 747.36 355.68 2 748.8 355.68 -8.29148 -1.29739 18.3049
1 835.2 256.32 2 849.6 256.32 -48.1322 9.69997 83.1257
1 596.16 339.84 2 599.04 339.84 -3.92385 -1.0332 25.8977
1 61.92 336.96 2 76.32 336.96 27.6365 -0.901134 29.5889
1 442.08 218.88 2 452.16 218.88 25.1059 28.1675 141.887
1 950.4 288 2 967.68 288 -106.382 7.4235 135.492
1 879.84 201.6 2 895.68 201.6 -57.8461 19.1837 87.5123
1 203.04 220.32 2 217.44 220.32 100.851 30.8777 152.41
1 204.48 228.96 2 218.88 228.96 100.595 28.2751 152.686
1 947.52 293.76 2 964.8 293.76 -88.6013 4.99324 113.421
1 544.32 168.48 2 544.32 168.48 -1.24401 5.52612 18.7889
1 887.04 168.48 2 902.88 168.48 -68.0787 28.4765 101.146
1 825.12 312.48 2 838.08 312.48 -29.7087 0.540594 52.4689
1 882.72 177.12 2 898.56 177.12 -58.2228 23.1826 87.3571
1 443.52 224.64 2 453.6 224.64 24.7558 26.6024 142.142
1 475.2 249.12 2 483.84 249.12 5.82492 7.88517 56.9684
1 210.24 226.08 2 224.64 226.08 98.4492 29.0405 152.195
1 370.08 434.88 2 360 434.88 2.42267 -2.28374 10.1408
1 380.16 171.36 2 383.04 171.36 5.88361 6.54009 22.2059
1 835.2 276.48 2 849.6 276.48 -48.2138 6.53241 83.2938
1 351.36 436.32 2 341.28 436.32 2.79654 -2.31002 10.1206
1 836.352 278.208 2 850.176 278.208 -48.3557 6.25313 83.234
1 552.96 345.6 2 552.96 345.6 -1.54687 -0.983307 19.4309
1 539.136 359.424 2 539.136 359.424 -1.02095 -1.48606 19.1887
1 549.504 350.784 2 549.504 350.784 -1.41421 -1.17584 19.3804
1 563.328 340.416 2 563.328 340.416 -2.27508 -1.05162 25.7765
1 511.488 124.416 2 511.488 124.416 -0.0877551 6.85723 17.9845
1 834.624 271.296 2 848.448 271.296 -48.1604 7.35774 83.3494
1 713.664 338.688 2 717.12 338.688 -10.5695 -1.09275 28.3846
