num_cameras num_3d_landmarks num_observations
10 300 1084
1 70 585.6 226.8
4 70 586.08 226.08
5 70 587.52 226.08
6 70 587.52 226.08
7 70 588.96 226.08
1 71 808.704 513.216
4 71 762.048 521.856
6 71 727.488 527.04
1 72 821 312
6 72 885 315
4 72 858 314
5 72 871 314
1 73 419.232 132.578
6 73 433.565 132.578
5 73 429.982 132.578
1 74 338 414
7 74 357 424
5 74 375 426
2 75 550 176
3 75 550 176
4 75 550 176
5 75 550 176
2 76 903 167
3 76 920 165
4 76 938 163
5 76 956 161
2 77 582 231
3 77 583 231
4 77 584 231
2 78 552 175
3 78 552 175
5 78 552 174
2 79 294 424
3 79 286 423
4 79 278 421
5 79 271 420
2 80 899 183
3 80 916 181
4 80 933 180
5 80 952 178
2 81 208 233
3 81 223 233
4 81 237 233
2 82 893 270
3 82 909 270
4 82 927 270
2 83 882 284.4
3 83 897.6 284.4
4 83 914.4 284.4
2 84 880.8 295.2
3 84 897.6 295.2
4 84 913.2 295.2
2 85 364.8 436.8
3 85 355.2 435.6
4 85 345.6 434.4
2 86 417.6 153.6
3 86 420 154.8
5 86 426 156
2 87 298.8 423.6
3 87 290.4 422.4
5 87 274.8 418.8
6 87 267.6 417.6
2 88 239.04 439.2
3 88 232.8 438
4 88 228 436.8
5 88 222 433.2
2 89 898.56 191.52
3 89 914.4 190.08
4 89 933.12 188.64
2 90 550.08 351.36
3 90 550.08 351.36
4 90 550.08 351.36
5 90 550.08 351.36
6 90 550.08 351.36
2 91 851.04 207.36
3 91 865.44 205.92
4 91 881.28 204.48
2 92 896.832 200.448
3 92 914.112 198.72
4 92 931.392 196.992
2 93 502.848 371.52
3 93 502.848 371.52
6 93 501.12 371.52
8 93 499.68 371.52
2 94 255.744 203.904
3 94 267.84 205.632
4 94 281.664 205.632
2 95 552.96 345.6
3 95 552.96 345.6
4 95 552.96 345.6
2 96 437.184 433.728
3 96 426.816 433.728
4 96 418.176 433.728
2 97 665.626 298.598
3 97 675.994 298.598
5 97 694.656 298.598
2 98 66.3552 290.304
3 98 80.8704 290.304
4 98 93.312 288.23
6 98 118.195 288.23
7 98 130.637 288.23
5 98 105.754 288.23
8 98 143.078 288.23
2 99 836.076 296.11
3 99 851.006 296.11
4 99 865.936 296.11
2 100 293.821 440.731
3 100 286.655 440.731
4 100 279.488 437.148
2 101 322.486 415.649
3 101 315.32 415.649
6 101 290.238 412.066
5 101 297.404 412.066
2 102 501.645 369.068
3 102 501.645 369.068
5 102 501.645 369.068
6 102 501.645 369.068
8 102 498.062 369.068
4 102 501.645 369.068
2 103 829 310
4 103 855 311
5 103 869 312
7 103 897 313
8 103 911 314
2 104 404 428
4 104 385 427
6 104 366 425
2 105 542 168
4 105 542 168
3 105 542 168
5 105 542 168
6 105 542 168
7 105 542 168
8 105 542 168
2 106 898.8 168
4 106 933.6 164.4
5 106 951.6 162
6 106 970.8 159.6
2 107 898.56 203.904
4 107 933.12 200.448
3 107 915.84 202.176
2 108 395.712 432
4 108 376.704 430.272
7 108 349.056 426.816
2 109 582.682 223.949
4 109 584.755 223.949
5 109 584.755 223.949
7 109 586.829 223.949
2 110 885.427 491.443
4 110 864.691 499.738
3 110 875.059 495.59
2 111 89.1648 248.832
4 111 116.122 248.832
8 111 165.888 250.906
2 112 423.014 131.881
4 112 427.162 132.71
3 112 425.088 132.71
2 113 223.949 188.117
4 113 250.823 191.103
6 113 277.697 194.089
7 113 292.627 194.089
2 114 564.351 340.402
4 114 564.351 340.402
6 114 564.351 340.402
7 114 564.351 340.402
3 114 564.351 340.402
5 114 564.351 340.402
2 115 222.157 189.909
4 115 250.823 193.492
5 115 265.155 193.492
3 115 236.49 189.909
8 115 304.57 197.075
2 116 562.56 476.563
4 116 561.365 480.744
8 116 544.644 480.146
2 117 396 433
5 117 367 430
6 117 358 429
7 117 349 428
3 117 386 432
9 117 332 425
2 118 903.6 166.8
5 118 956.4 160.8
6 118 975.6 158.4
2 119 328.8 412.8
5 119 302.4 408
6 119 366 424.8
2 120 796 514
7 120 712 528
5 120 748 523
2 121 892.8 261.6
7 121 936 233.28
8 121 950.4 231.84
2 122 852.25 145.152
7 122 935.194 132.71
3 122 866.765 143.078
8 122 953.856 128.563
2 123 418 153
9 123 438 157
4 123 424 155
3 124 672 306
4 124 682 305
5 124 692 306
3 125 610 243
4 125 611 243
9 125 615.6 242.4
5 125 612 242
8 125 614.4 242.4
3 126 267 203
4 126 280 204
5 126 293 204
6 126 306 205
3 127 613 252
4 127 614 252
5 127 615 252
6 127 616 252
3 128 328 437
4 128 319 436
6 128 302 433
3 129 599 269
4 129 600 269
5 129 601 269
3 130 421 154
4 130 424 155
5 130 427 155
3 131 873 151
4 131 889 149
8 131 957 139
3 132 347 207
4 132 350 208
6 132 357 208
3 133 543.6 163.2
4 133 543.6 163.2
5 133 543.6 163.2
6 133 543.6 163.2
3 134 915.6 181.2
4 134 932.4 180
5 134 951.6 177.6
3 135 386.4 354
4 135 388.8 354
5 135 391.2 354
3 136 553.2 346.8
4 136 553.2 346.8
5 136 553.2 346.8
3 137 393.6 427.2
4 137 384 426
5 137 374.4 424.8
3 138 534 151.2
4 138 534 151.2
5 138 534 151.2
6 138 534 151.2
3 139 350.4 420
4 139 340.8 418.8
6 139 324 416.4
5 139 332.4 417.6
7 139 315.6 415.2
8 139 307.2 414
3 140 236.4 188.4
4 140 249.6 189.6
5 140 262.8 189.6
3 141 325.44 432
4 141 316.8 430.56
5 141 308.16 429.12
7 141 292.32 426.24
3 142 332.64 434.88
4 142 324 433.44
6 142 306.72 430.56
3 143 869.76 192.96
4 143 885.6 191.52
5 143 902.88 172.8
3 144 508.032 366.336
4 144 506.304 366.336
5 144 506.304 366.336
3 145 782.784 513.216
4 145 767.232 516.672
6 145 732.672 521.856
3 146 57.024 300.672
4 146 70.848 300.672
8 146 123.84 298.08
9 146 135.36 298.08
3 147 775.872 176.256
4 147 789.696 174.528
5 147 803.52 172.8
3 148 326.592 433.728
4 148 317.952 432
6 148 300.672 428.544
3 149 546.048 243.648
4 149 547.776 243.648
5 149 549.504 243.648
6 149 549.504 243.648
3 150 874.368 193.536
4 150 888.192 191.808
7 150 938.304 186.624
6 150 921.024 188.352
3 151 868.839 172.109
4 151 885.427 170.035
5 151 899.943 167.962
6 151 916.531 165.888
7 151 935.194 163.814
3 152 458.266 429.235
4 152 447.898 429.235
5 152 439.603 429.235
3 153 352.512 435.456
4 153 342.144 433.382
6 153 325.555 431.309
9 153 300.672 427.162
8 153 308.966 429.235
3 154 562.36 231.414
4 154 562.36 231.414
7 154 568.167 230.17
3 155 388.178 429.982
4 155 379.22 429.982
7 155 352.346 426.996
3 156 501.645 370.262
4 156 501.645 370.262
5 156 501.645 370.262
7 156 501.645 370.262
8 156 498.659 370.262
3 157 867.13 171.993
4 157 881.463 171.993
5 157 899.379 168.41
3 158 588 223.2
5 158 589.2 223.2
6 158 590.4 223.2
7 158 590.4 223.2
8 158 591.6 223.2
3 159 872.4 151.2
5 159 904.8 146.4
6 159 921.6 144
8 159 956.4 139.2
3 160 535.2 369.6
5 160 535.2 369.6
6 160 535.2 369.6
8 160 534 369.6
4 160 536.4 369.6
7 160 535.2 369.6
9 160 534 369.6
3 161 324 444.96
5 161 307.2 442.8
6 161 298.8 440.4
7 161 291.6 439.2
8 161 284.4 438
9 161 277.2 435.6
3 162 609.12 241.92
5 162 612 241.92
7 162 613.44 241.92
3 163 434.88 442.08
5 163 416.16 440.64
7 163 397.44 439.2
3 164 79.6263 288.645
5 164 104.509 288.645
6 164 116.951 288.645
8 164 141.834 288.645
4 164 92.0679 288.645
7 164 129.393 288.645
3 165 512.594 114.463
5 165 510.106 114.463
6 165 510.106 114.463
7 165 510.106 114.463
8 165 510.106 114.463
3 166 588.239 232.907
5 166 591.225 232.907
6 166 591.225 232.907
4 166 591.225 232.907
9 166 594.211 232.907
3 167 231 219
6 167 272 221
5 167 259 220
3 168 520 313
6 168 519 313
4 168 520 313
3 169 572 249
6 169 573 249
5 169 573 249
3 170 253.44 440.64
6 170 234.72 434.88
8 170 224.64 430.56
3 171 875.889 495.176
6 171 843.541 505.129
5 171 851.006 502.641
3 172 125.411 232.907
6 172 167.215 235.893
7 172 179.159 235.893
3 173 82.08 288
7 173 132.48 286.56
8 173 144 286.56
4 173 95.04 288
3 174 775.526 221.875
7 174 826.122 218.972
5 174 798.751 221.461
9 174 853.494 216.484
4 175 458 257
5 175 469 257
7 175 490 257
6 175 480 257
9 175 512 257
4 176 789 174
5 176 804 173
6 176 817 171
4 177 585 218
5 177 586 218
6 177 586 218
4 178 521 311
5 178 521 311
7 178 520 311
4 179 750 357
5 179 751 358
7 179 753 360
6 179 752 359
4 180 250 193
5 180 263 193
8 180 303 196
4 181 544 163
5 181 544 163
6 181 544 163
7 181 544 163
4 182 599 273
5 182 600 273
6 182 601 273
4 183 547 352
5 183 547 352
6 183 547 352
7 183 547 352
4 184 272 352
5 184 268 351
6 184 264 350
7 184 259 349
4 185 584.4 217.2
5 185 584.4 217.2
6 185 585.6 217.2
4 186 543.6 168
5 186 543.6 168
6 186 543.6 168
4 187 453.6 212.4
5 187 464.4 212.4
6 187 475.2 212.4
4 188 340.8 430.8
5 188 332.4 429.6
6 188 324 428.4
4 189 914.4 285.12
5 189 931.68 285.12
7 189 969.408 285.12
4 190 113.76 239.04
5 190 126.72 240.48
6 190 139.68 240.48
4 191 930.24 213.12
5 191 947.52 211.68
6 191 966.24 210.24
4 192 779.04 375.84
5 192 780.48 377.28
6 192 781.92 378.72
8 192 784.8 381.6
7 192 783.36 380.16
9 192 786.24 383.04
4 193 544.32 334.08
5 193 544.32 334.08
7 193 544.32 334.08
4 194 522.72 324
5 194 522.72 324
9 194 521.28 324
4 195 549.504 350.784
5 195 549.504 350.784
6 195 549.504 350.784
4 196 723.687 331.776
5 196 725.76 331.776
6 196 727.834 331.776
4 197 881.28 279.936
5 197 895.795 279.936
6 197 912.384 279.936
4 198 858.471 311.04
5 198 872.986 311.04
6 198 885.427 311.04
4 199 427.991 131.881
5 199 430.479 131.881
6 199 432.968 134.369
4 200 554.896 241.367
5 200 554.896 241.367
6 200 557.384 241.367
4 201 880.866 203.047
5 201 895.795 203.047
6 201 913.711 200.061
