num_cameras num_3d_landmarks num_observations
10 300 1084
1.13632 -2.33955 10.5382
-16.3666 2.43359 61.875
27.4245 1.90616 29.6808
-49.6093 3.58754 85.5538
4.0261 -2.43474 10.2482
3.38453 -1.90136 10.1454
0.328397 -1.76682 18.443
-33.5592 0.922801 58.7232
1.77684 -2.18158 10.3355
-1.15933 5.53208 18.7239
-59.6708 24.2596 85.7504
-60.1682 18.6264 86.5638
1.93551 -2.25413 10.291
-2.73548 3.69926 19.9377
-6.77843 -2.90699 8.93434
29.1308 4.91018 33.1594
4.1106 8.45582 22.8067
67.9524 29.4061 110.293
-2.32717 -1.03803 25.721
69.1354 29.34 111.524
-1.37223 -2.76277 9.10802
1.93158 -2.27589 10.2978
-70.0698 28.3998 99.6475
3.25478 -1.84346 10.1451
-4.81668 -2.9348 7.93867
-59.5792 9.26699 87.094
-50.1742 26.9053 82.0887
4.40111 7.59677 23.0614
-16.8896 1.57792 65.5076
-3.82037 3.00013 20.4264
63.7954 27.5635 115.165
-3.9477 2.65757 20.529
3.11862 -2.35207 10.1992
-3.36765 1.96633 20.2499
4.35962 7.59203 23.0732
-50.1238 24.911 80.4335
7.26677 4.92732 21.6455
-1.24553 5.69603 18.7341
-60.0592 21.6693 86.1502
5.87168 -1.49258 22.5701
-1.55643 -1.02263 19.4204
1.79602 -2.16942 10.3309
-0.90473 6.07267 18.5203
2.64351 -1.99996 10.187
67.9054 29.7348 109.937
3.16685 -2.24832 10.1887
3.02062 -2.3077 10.1979
-50.0045 18.7827 81.068
0.0900752 -1.68161 18.5801
-4.83298 -2.89324 7.9398
28.9245 1.37046 29.689
-43.6383 26.2196 98.1011
3.14418 -2.2839 10.1914
-1.21768 7.94325 53.8432
-50.5897 18.6498 80.9377
-49.8447 21.9161 80.993
0.540221 -2.29586 10.7757
2.61284 -2.31954 10.215
-1.993 3.69712 21.636
1.90118 -2.22158 10.3049
0.31265 -1.81216 18.4595
-49.6396 21.959 81.0624
-2.92267 3.69117 19.8627
-50.0771 24.9037 80.4985
-0.880182 -1.85359 19.1281
3.2078 -2.51744 10.2084
-3.78284 3.03874 20.3964
1.00296 -2.52952 10.5976
27.4147 2.09723 29.6749
-0.17563 7.21244 17.9983
-2.93156 3.32343 19.8908
97.1005 31.9739 153.347
-0.354345 0.250942 18.6408
-2.29249 2.67283 19.5774
4.83022 -2.49554 10.4205
-6.76623 -2.93431 8.941
33.4788 7.4 40.1074
27.3197 2.14014 29.7436
-32.0847 12.9559 71.4956
35.2205 23.1178 185.467
-43.7867 26.1807 98.1417
-2.79975 3.85297 19.7719
-0.40962 0.320395 18.6663
-8.20921 -1.32564 18.1017
68.7723 29.5801 111.614
-1.28863 5.69521 18.7603
-3.34455 1.79246 20.2438
-1.32332 -1.21477 19.3185
4.90149 -0.696233 11.5102
-2.77624 3.87945 19.7487
-1.27257 5.51349 18.7585
24.991 27.5098 129.073
2.67281 -2.23322 10.2114
-70.8611 6.03191 107.065
29.2303 5.89063 33.206
-60.0309 16.1794 86.542
-9.20798 -1.97883 18.2553
-1.23258 -0.539366 19.1989
-0.463552 -0.153285 18.7295
-1.41656 -1.1717 19.3542
-13.4393 -0.996127 37.8639
-50.0417 5.47427 82.0307
-30.2457 0.528068 51.9257
4.05545 8.5392 22.8386
-1.63491 3.27046 21.6266
-49.7788 16.9433 81.5356
-0.860123 -1.76734 19.1084
-25.3454 0.468604 48.9127
-1.57236 5.30338 18.9546
5.73252 0.854069 18.256
1.98034 -2.51966 10.3168
-59.9952 6.35393 87.4462
-2.63736 3.95567 19.6555
2.14327 -2.50502 10.2683
4.06033 -2.21794 10.24
-2.69434 3.99203 19.6922
1.87903 -2.04364 10.3064
-34.2362 1.23986 67.728
4.96899 8.14189 56.3094
-1.31599 5.54165 18.7883
-60.0463 6.97199 87.3066
3.2395 -2.50446 10.2302
-60.2192 5.11085 87.5075
-31.4784 13.5844 70.9225
3.09806 -2.37169 10.2227
4.03106 0.520956 23.8539
-1.44938 0.900173 19.2157
-3.37786 -0.896915 25.782
-15.1195 9.60486 64.5977
2.20034 -2.50709 10.2688
3.17077 -2.27119 10.2137
-49.9058 16.4671 81.3879
6.17112 0.854512 17.7135
29.1203 5.97467 33.2814
-1.3273 5.51913 18.7896
0.426786 7.80538 17.5961
62.8915 30.4682 114.921
1.18214 -2.31704 10.5515
-2.32728 4.4898 19.4425
-0.976693 -1.43889 19.1515
-0.881705 -1.8063 19.128
34.3166 7.71293 41.4908
1.74253 -2.37211 10.3921
-0.337191 -1.74112 18.8299
2.07862 -2.45464 10.2986
-50.1524 21.2912 80.8355
27.2834 2.32427 29.8138
0.707575 -1.07901 18.1934
-1.07626 -0.878297 19.1583
-15.3088 7.97952 59.33
97.0109 31.9623 154.895
4.87143 -2.47086 10.4464
5.69932 6.5941 22.3824
1.19625 -2.53233 10.5678
5.40372 2.17565 22.9342
-35.7266 12.6668 73.3756
-0.206521 7.23709 18.0019
2.65699 -2.23125 10.2278
-2.94694 3.84791 19.8343
-2.94269 3.54027 19.9659
6.48498 0.820421 17.0634
6.23586 1.23279 17.6033
-1.46952 0.868083 19.2395
34.5751 22.7953 127.481
4.247 7.60669 23.1078
5.93078 -1.37598 23.4279
-50.4533 18.0022 80.9511
-1.30584 5.67505 18.7466
-1.47301 0.897616 19.2373
3.2123 -2.43266 10.2302
-8.24524 -1.46898 18.1161
-3.27897 3.52733 20.0437
1.06687 8.06151 17.5621
0.23071 7.49752 17.727
28.8659 1.73719 29.6863
-3.34791 3.52933 20.0844
-2.88395 4.2416 19.7659
4.1743 -0.654913 24.0094
-2.75812 3.69598 19.9766
-3.02261 3.26857 19.9326
-2.50165 4.42595 19.5269
-2.94958 3.54355 19.9009
2.02041 -2.48982 10.328
29.1702 6.0475 33.2832
1.98866 -2.2093 10.3124
-3.30268 3.95605 20.0205
0.525299 -2.35905 10.842
-0.0446588 -2.35593 11.1856
4.07987 -1.98858 10.2441
23.8721 16.4482 130.88
5.78706 1.27581 18.1684
38.5703 25.6514 137.023
-36.6268 13.3566 73.6193
34.3251 7.88598 41.6424
-3.31044 -0.904556 25.7727
-47.1857 2.76714 96.9244
0.31976 -1.84889 18.4844
-2.14005 3.69183 21.3883
-45.0166 24.1205 96.1143
-47.3827 3.1853 96.7726
-16.7298 7.88163 64.9504
2.75429 -2.56115 10.2157
-0.380067 6.95142 18.1049
4.63343 -1.92143 10.3513
